accX,accY,accZ,label
0.2,5.0,7.1000000000000005,andando
-0.8,5.2,7.6000000000000005,andando
-0.8,5.2,7.6000000000000005,andando
-1.6,4.800000000000001,9.5,andando
-1.9000000000000001,4.5,10.5,andando
-2.1,4.3,10.5,andando
-1.4000000000000001,4.9,8.8,andando
-1.6,4.0,8.6,andando
-0.8,4.3,7.2,andando
-0.5,3.8000000000000003,7.300000000000001,andando
0.6000000000000001,3.2,6.7,andando
0.6000000000000001,3.2,6.7,andando
0.0,3.0,7.800000000000001,andando
-0.5,3.0,8.200000000000001,andando
-0.7000000000000001,3.0,7.9,andando
-0.9,3.4000000000000004,6.2,andando
-1.2000000000000002,3.3000000000000003,7.7,andando
-1.4000000000000001,4.5,8.0,andando
-1.4000000000000001,4.5,8.0,andando
-1.5,4.3,8.8,andando
-1.5,4.2,9.200000000000001,andando
-1.6,4.3,9.4,andando
-1.7000000000000002,4.5,9.600000000000001,andando
-1.7000000000000002,4.5,9.600000000000001,andando
-1.9000000000000001,5.1000000000000005,9.600000000000001,andando
-2.3000000000000003,5.4,9.8,andando
-2.6,5.6000000000000005,10.100000000000001,andando
-2.6,5.7,10.4,andando
-2.5,5.6000000000000005,10.700000000000001,andando
-2.5,5.7,10.700000000000001,andando
-2.5,6.0,10.100000000000001,andando
-2.5,6.0,10.100000000000001,andando
-2.8000000000000003,6.5,9.600000000000001,andando
-2.9000000000000004,6.5,9.5,andando
-2.8000000000000003,6.5,9.5,andando
-2.7,6.300000000000001,9.5,andando
-2.5,6.1000000000000005,9.3,andando
-2.3000000000000003,5.9,9.0,andando
-2.2,5.9,8.6,andando
-2.2,5.800000000000001,7.9,andando
-2.2,5.800000000000001,7.9,andando
-1.9000000000000001,5.6000000000000005,7.4,andando
-1.8,5.6000000000000005,7.6000000000000005,andando
-1.7000000000000002,5.4,7.6000000000000005,andando
-1.7000000000000002,5.1000000000000005,7.6000000000000005,andando
-1.6,4.9,7.5,andando
